伝票日付,（借）科目ｺｰﾄﾞ,（借）科目名,（借）補助ｺｰﾄﾞ,（借）補助名,（借）金額,（借）税込区分,（借）消費税ｺｰﾄﾞ,（借）消費税率,（貸）科目ｺｰﾄﾞ,（貸）科目名,（貸）補助ｺｰﾄﾞ,（貸）補助名,（貸）金額,（貸）税込区分,（貸）消費税ｺｰﾄﾞ,（貸）消費税率,摘要
2022/08/29,6113,17800,17800,nan,17800,1,10,4,1113,普通預金,1,もみじ銀行,17800,0,,,APアプラス　HP代
2022/08/29,6228,23976,23976,nan,23976,1,10,4,1113,普通預金,1,もみじ銀行,23976,0,,,NS　三菱HBL　リース料
2022/08/29,6231,36300,36300,nan,36300,1,10,4,1113,普通預金,1,もみじ銀行,36300,0,,,長谷川会計　顧問料・納特・労働保険
2022/08/29,6219,水道光熱費,,nan,91830,1,10,4,1113,普通預金,1,もみじ銀行,91830,0,,,ハルエネ　電気代
2022/08/29,1113,普通預金,1,もみじ銀行,43181,0,,,1111,現金,,nan,43181,0,,,8/26　売上
2022/08/29,1113,普通預金,1,もみじ銀行,32369,0,,,1111,現金,,nan,32369,0,,,8/27　売上
2022/08/29,1111,現金,,nan,140000,0,,,1113,普通預金,1,もみじ銀行,140000,0,,,引出し
2022/08/30,1113,普通預金,1,もみじ銀行,29703,0,,,1111,現金,,nan,29703,0,,,8/29　売上
2022/08/30,1111,現金,,nan,10000,0,,,1113,普通預金,1,もみじ銀行,10000,0,,,引出し
2022/08/31,2212,長期借入金,2,公庫210万,26670,0,,,1113,普通預金,1,もみじ銀行,26670,0,,,日本政策金融公庫　借入金返済
2022/08/31,2212,長期借入金,1,公庫290万,36928,0,,,1113,普通預金,1,もみじ銀行,36928,0,,,日本政策金融公庫　借入金返済
2022/08/31,1113,普通預金,1,もみじ銀行,65398,0,,,1111,現金,,nan,65398,0,,,8/30　売上
2022/08/31,1111,現金,,nan,320000,0,,,1113,普通預金,1,もみじ銀行,320000,0,,,引出し
2022/09/01,1111,現金,,nan,69923,0,,,4111,売上高,,nan,69923,1,10,4,現金売上
2022/09/01,1111,現金,,nan,20000,0,,,1113,普通預金,1,もみじ銀行,20000,0,,,引出し
2022/09/02,1111,現金,,nan,44782,0,,,4111,売上高,,nan,44782,1,10,4,現金売上
2022/09/02,1111,現金,,nan,30000,0,,,1113,普通預金,1,もみじ銀行,30000,0,,,引出し
2022/09/05,6231,雑費,,nan,75446,0,30,,1122,売掛金,1,カード,75446,0,,,リクルートペイメント　保証料
2022/09/05,6228,8100,8100,nan,8100,1,10,3,1113,普通預金,1,もみじ銀行,8100,0,,,SMTパナ　冷蔵庫リース
2022/09/05,6228,10450,10450,nan,10450,1,10,4,1113,普通預金,1,もみじ銀行,10450,0,,,三菱クレジット　製氷機リース
2022/09/05,1111,現金,,nan,58268,0,,,4111,売上高,,nan,58268,1,10,4,現金売上
2022/09/05,1122,売掛金,1,カード,24470,0,,,4111,売上高,,nan,24470,1,10,4,カード売上/VISA
2022/09/05,1111,現金,,nan,180000,0,,,1113,普通預金,3,広島信用金庫,180000,0,,,引出し
